Date,TSLA Open,TSLA High,TSLA Low,TSLA Close,TSLA Volume,TSLA VWAP,Market Bullish Sentiment,Market Neutral Sentiment,Market Bearish Sentiment,SPY Open,SPY High,SPY Low,SPY Close,SPY Volume,SPY VWAP,AMZN Open,AMZN High,AMZN Low,AMZN Close,AMZN Volume,AMZN VWAP
8/28/2020,459.023987,463.697998,437.303986,442.679993,100406000,442.679993,0.321,0.283,0.396,349.440002,350.720001,348.149994,350.579987,48588900,350.579987,3423,3433.370117,3386.5,3401.800049,2897000,3401.800049
8/31/2020,444.609985,500.140015,440.109985,498.320007,118374400,498.320007,0.321,0.283,0.396,350.350006,351.299988,349.059998,349.309998,66099200,349.309998,3408.98999,3495,3405,3450.959961,4185900,3450.959961
9/1/2020,502.140015,502.48999,470.51001,475.049988,89841100,475.049988,0.321,0.283,0.396,350.209991,352.709991,349.23999,352.600006,54908700,352.600006,3489.580078,3513.870117,3467,3499.120117,3432200,3499.120117
9/2/2020,478.98999,479.040009,405.119995,447.369995,96176100,447.369995,0.321,0.283,0.396,354.670013,358.75,353.429993,357.700012,69540000,357.700012,3547,3552.25,3486.689941,3531.449951,3931500,3531.449951
9/3/2020,407.230011,431.799988,402,407,87596100,407,0.308,0.274,0.418,355.869995,356.380005,342.589996,345.390015,148011100,345.390015,3485,3488.409912,3303,3368,8161100,3368
9/4/2020,402.809998,428,372.019989,418.320007,110321900,418.320007,0.308,0.274,0.418,346.130005,347.829987,334.869995,342.570007,139156300,342.570007,3318,3381.5,3111.129883,3294.620117,8781800,3294.620117
9/8/2020,356,368.73999,329.880005,330.209991,115465700,330.209991,0.308,0.274,0.418,336.709991,342.640015,332.880005,333.209991,114465300,333.209991,3144,3250.850098,3130,3149.840088,6094200,3149.840088
9/9/2020,356.600006,369,341.51001,366.279999,79465800,366.279999,0.308,0.274,0.418,337.549988,342.459991,336.609985,339.790009,91462300,339.790009,3202.98999,3303.179932,3185,3268.610107,5188700,3268.610107
9/10/2020,386.209991,398.98999,360.559998,371.339996,84930600,371.339996,0.237,0.278,0.485,341.820007,342.529999,332.850006,333.890015,90569500,333.890015,3307.219971,3349.889893,3170.550049,3175.110107,5330700,3175.110107
9/11/2020,381.940002,382.5,360.5,372.720001,60717500,372.720001,0.237,0.278,0.485,335.820007,336.970001,331,334.059998,84680200,334.059998,3208.689941,3217.340088,3083.97998,3116.219971,5094000,3116.219971
9/14/2020,380.950012,420,373.299988,419.619995,83020600,419.619995,0.237,0.278,0.485,337.48999,340.380005,334.220001,338.459991,65605700,338.459991,3172.939941,3187.389893,3096,3102.969971,4529600,3102.969971
9/15/2020,436.559998,461.940002,430.700012,449.76001,97298200,449.76001,0.237,0.278,0.485,341.119995,342.019989,338.470001,340.170013,52920900,340.170013,3136.159912,3175.02002,3108.919922,3156.129883,4021500,3156.129883
9/16/2020,439.869995,457.790009,435.309998,441.76001,72279300,441.76001,0.237,0.278,0.485,341.51001,343.059998,338.519989,338.820007,82096000,338.820007,3179.98999,3187.23999,3074.149902,3078.100098,4512200,3078.100098
9/17/2020,415.600006,437.790009,408,423.429993,76779200,423.429993,0.32,0.276,0.404,333.559998,337.700012,332.98999,335.839996,91523300,335.839996,3009.25,3029.429932,2972.550049,3008.72998,6449100,3008.72998
9/18/2020,447.940002,451,428.799988,442.149994,86406800,442.149994,0.32,0.276,0.404,335.369995,335.48999,327.970001,330.649994,105877900,330.649994,3031.73999,3037.800049,2905.540039,2954.909912,8892600,2954.909912
9/21/2020,453.130005,455.679993,407.070007,449.390015,109476800,449.390015,0.32,0.276,0.404,325.700012,327.130005,321.730011,326.970001,99450800,326.970001,2906.5,2962,2871,2960.469971,6117900,2960.469971
9/22/2020,429.600006,437.76001,417.600006,424.230011,79580800,424.230011,0.32,0.276,0.404,328.570007,330.899994,325.859985,330.299988,63612100,330.299988,3033.840088,3133.98999,3000.199951,3128.98999,6948800,3128.98999
9/23/2020,405.160004,412.149994,375.880005,380.359985,95074200,380.359985,0.32,0.276,0.404,330.899994,331.200012,322.100006,322.640015,93112200,322.640015,3120.429932,3127,2992.379883,2999.860107,5652700,2999.860107
9/24/2020,363.799988,399.5,351.299988,387.790009,96561100,387.790009,0.249,0.291,0.46,321.220001,326.799988,319.799988,323.5,76681300,323.5,2977.790039,3069.300049,2965,3019.790039,5529400,3019.790039
9/25/2020,393.470001,408.730011,391.299988,407.339996,67208500,407.339996,0.249,0.291,0.46,322.579987,329.579987,321.640015,328.730011,71069400,328.730011,3054.860107,3101.540039,2999,3095.129883,4615200,3095.129883
9/28/2020,424.619995,428.079987,415.549988,421.200012,49719600,421.200012,0.249,0.291,0.46,333.220001,334.959991,332.149994,334.190002,64584600,334.190002,3148.850098,3175.040039,3117.169922,3174.050049,4224200,3174.050049
9/29/2020,416,428.5,411.600006,419.070007,50219300,419.070007,0.249,0.291,0.46,333.970001,334.769989,331.619995,332.369995,51304000,332.369995,3175.389893,3188.26001,3132.540039,3144.879883,3495800,3144.879883
9/30/2020,421.320007,433.929993,420.470001,429.01001,48145600,429.01001,0.249,0.291,0.46,333.089996,338.290009,332.880005,334.890015,104081100,334.890015,3141.139893,3212.879883,3133.98999,3148.72998,4896100,3148.72998
10/1/2020,440.76001,448.880005,434.420013,448.160004,50741500,448.160004,0.262,0.307,0.431,337.690002,338.73999,335.01001,337.040009,88698700,337.040009,3208,3224,3172,3221.26001,4971900,3221.26001
10/2/2020,421.390015,439.130005,415,415.089996,71430000,415.089996,0.262,0.307,0.431,331.700012,337.01001,331.190002,333.839996,89431100,333.839996,3153.629883,3195.800049,3123,3125,5613100,3125
10/5/2020,423.350006,433.640015,419.329987,425.679993,44722800,425.679993,0.262,0.307,0.431,336.059998,339.959991,336.01001,339.76001,45713100,339.76001,3145.840088,3202.530029,3140.850098,3199.199951,3775300,3199.199951
10/6/2020,423.790009,428.779999,406.049988,413.980011,49146300,413.980011,0.262,0.307,0.431,339.910004,342.170013,334.380005,334.929993,90128900,334.929993,3165,3182,3090,3099.959961,5086900,3099.959961
10/7/2020,419.869995,429.899994,413.850006,425.299988,43127700,425.299988,0.262,0.307,0.431,338.119995,341.630005,338.089996,340.76001,56999600,340.76001,3135,3200,3132.389893,3195.689941,4309400,3195.689941
10/8/2020,438.440002,439,425.299988,425.920013,40421100,425.920013,0.347,0.263,0.39,342.850006,343.850006,341.859985,343.779999,45242500,343.779999,3224.98999,3233.290039,3174.98999,3190.550049,3174100,3190.550049
10/9/2020,430.130005,434.589996,426.459991,434,28925700,434,0.347,0.263,0.39,345.559998,347.350006,344.890015,346.850006,59528600,346.850006,3210,3288.98999,3197.830078,3286.649902,4907900,3286.649902
10/12/2020,442,448.73999,438.579987,442.299988,38791100,442.299988,0.347,0.263,0.39,349.589996,354.019989,349.059998,352.429993,80388500,352.429993,3349.939941,3496.23999,3339.550049,3442.929932,8364200,3442.929932
10/13/2020,443.350006,448.890015,436.600006,446.649994,34463700,446.649994,0.347,0.263,0.39,352.279999,352.470001,349.089996,350.130005,73255500,350.130005,3467.98999,3492.379883,3424.219971,3443.629883,5744700,3443.629883
10/14/2020,449.779999,465.899994,447.350006,461.299988,47879700,461.299988,0.347,0.263,0.39,350.75,351.929993,347.140015,347.929993,57727900,347.929993,3447,3464.879883,3340,3363.709961,5812700,3363.709961
10/15/2020,450.309998,456.570007,442.5,448.880005,35672400,448.880005,0.348,0.295,0.357,343.709991,348.019989,343.130005,347.5,60357700,347.5,3292.01001,3355.879883,3280,3338.649902,5223400,3338.649902
10/16/2020,454.440002,455.950012,438.850006,439.670013,32775900,439.670013,0.348,0.295,0.357,348.959991,350.75,347.100006,347.290009,89501900,347.290009,3363.22998,3399.659912,3160,3272.709961,6474400,3272.709961
10/19/2020,446.23999,447,428.869995,430.829987,36287800,430.829987,0.348,0.295,0.357,348.649994,349.329987,341.040009,342.01001,68425600,342.01001,3299.610107,3329,3192.73999,3207.209961,5223600,3207.209961
10/20/2020,431.75,431.75,419.049988,421.940002,31656300,421.940002,0.348,0.295,0.357,343.459991,346.880005,342.640015,343.380005,60051900,343.380005,3222.280029,3266,3192.01001,3217.01001,4509700,3217.01001
10/21/2020,422.700012,432.950012,421.25,422.640015,32370500,422.640015,0.348,0.295,0.357,343.329987,345.670013,342.399994,342.730011,63575000,342.730011,3212.5,3233.879883,3160,3184.939941,4592700,3184.939941
10/22/2020,441.920013,445.230011,424.51001,425.790009,39993200,425.790009,0.357,0.312,0.33,342.959991,345.23999,340.649994,344.609985,55399300,344.609985,3189.870117,3198.75,3121.939941,3176.399902,4212000,3176.399902
10/23/2020,421.839996,422.890015,407.380005,420.630005,33717000,420.630005,0.357,0.312,0.33,345.929993,345.98999,343.130005,345.779999,49143900,345.779999,3191,3205.330078,3140,3204.399902,3466700,3204.399902
